,DEPTH,VP,RHOB,AI
720,685.038,2222.1194,2.05364,4563.4332533300785
721,685.1904,2196.0593,2.0564400000000003,4516.064240712892
722,685.3428,2178.6035,2.0592799999999998,4486.35464765625
723,685.4952,2171.7844,2.0622599999999998,4478.784145883788
724,685.6476,2164.3345,2.06524,4469.870126308594
725,685.8,2151.6812,2.0683000000000002,4450.322127392578
726,685.9524,2139.9421,2.07126,4432.376554145508
727,686.1048,2133.0024,2.07406,4423.975043623046
728,686.2572,2134.469,2.07702,4433.334790209961
729,686.4096,2138.1594,2.07972,4446.772916923828
730,686.562,2153.0312,2.08228,4483.21391125
731,686.7144,2153.7832,2.0844599999999995,4489.474935585937
732,686.8668,2114.364,2.053,4340.789320068359
733,687.0192,2152.6104,2.08,4477.42953125
734,687.1716,2199.596,2.111,4643.347044677735
735,687.324,2205.0957,2.115,4663.777412109375
736,687.4764,2199.2021,2.118,4657.910150390625
737,687.6288,2194.1965,2.12,4651.696650390625
738,687.7812,2185.543,2.125,4644.27880859375
739,687.9336,2183.82,2.13,4651.536745605468
740,688.086,2118.2573,2.0864,4419.5320812499995
741,688.2384,2117.715,2.086,4417.553673339843
742,688.3908,2192.9585,2.135,4681.966389160156
743,688.5432,2198.4512,2.132,4687.097898437501
744,688.6956,2210.449,2.127,4701.6249689941405
745,688.848,,2.125,
746,689.0004,,2.109,
747,689.1528,,2.085,
748,689.3052,,2.078,
749,689.4576,,2.045,
750,689.61,,2.0989400000000002,
751,689.7624,,2.10328,
752,689.9148,,2.10798,
753,690.0672,,2.1127800000000003,
754,690.2196,,2.11764,
755,690.372,,2.12242,
756,690.5244,,2.1259799999999998,
757,690.6768,,2.125,
758,690.8292,,2.13,
759,690.9816,2233.8367,2.137,4773.708963623047
760,691.134,2239.1646,2.139,4789.5729741210935
761,691.2864,2253.9822,2.141,4825.775842529297
762,691.4388,2253.1455,2.136,4812.7188046875
763,691.5912,2225.6611,2.128,4736.206890625001
764,691.7436,2223.0747,2.122,4717.364528320312
765,691.896,2294.2441,2.1460600000000003,4923.585580429688
766,692.0484,2299.7605,2.14882,4941.771353413086
767,692.2008,2249.0415,2.1519999999999997,4839.937316406249
768,692.3532,2246.0486,2.1555,4841.35772277832
769,692.5056,2245.2854,2.15918,4847.9753308154295
770,692.658,2242.8992,2.1628600000000002,4851.0768986572275
771,692.8104,2241.484,2.16648,4856.130010898438
772,692.9628,2237.6494,2.1700999999999997,4855.92299345703
773,693.1152,2236.3137,2.17378,4861.254039790038
774,693.2676,2236.296,2.17744,4869.40014109375
775,693.42,2288.8792,2.18078,4991.541873588867
776,693.5724,2295.2087,2.18382,5012.322751098633
777,693.7248,2296.2053,2.18626,5020.101847856445
778,693.8772,2298.1245,2.18844,5029.307606425781
779,694.0296,2300.9983,2.19008,5039.3703371875
780,694.182,2278.9382,2.1915600000000004,4994.429872646485
781,694.3344,2280.9263,2.1925600000000003,5001.067701523438
782,694.4868,2282.0615,2.19356,5005.838875351563
783,694.6392,2283.5254,2.1944,5010.9681171875
784,694.7916,2265.615,2.1956200000000003,4974.429584858399
785,694.944,2259.1028,2.1970400000000003,4963.339178808595
786,695.0964,2260.3105,2.19858,4969.473562148438
787,695.2488,2277.8308,2.20036,5012.047802294922
788,695.4012,2291.622,2.2023,5046.8392854492195
