,Time,Trace
161,0.32232232232232233,-0.2615022
162,0.32432432432432434,-0.2176516
163,0.3263263263263263,-0.203751
164,0.3283283283283283,-0.2098851
165,0.3303303303303303,-0.1836529
166,0.33233233233233234,-0.134339
167,0.33433433433433435,-0.0171772
168,0.3363363363363363,0.0623665
169,0.3383383383383383,0.0599549
170,0.34034034034034033,0.0121255
171,0.34234234234234234,-0.0271762
172,0.34434434434434436,0.0023783
173,0.34634634634634637,0.097676
174,0.3483483483483483,0.2057617
175,0.35035035035035034,0.2757623
176,0.35235235235235235,0.2955878
177,0.35435435435435436,0.23586
178,0.3563563563563564,0.1419148
179,0.35835835835835833,0.0536935
180,0.36036036036036034,-0.0025983
181,0.36236236236236236,-0.025252
182,0.36436436436436437,-0.0606942
183,0.3663663663663664,-0.0891324
