,DEPTH,CALI,DT-CKS,DT,GR,NPHI,PHIF,RFT,RHOB,RT,SAND,SP,SW,VSH,VP,AI
4464,680.3136,18.734,159.601,168.37,85.063,,,,2.1133,,,-63.188,,,1909.7624701599614,4035.901028189047
4465,680.466,18.797,158.988,167.0,86.75,,,,2.1113,,,-61.563,,,1917.1258208166655,4047.6277454902256
4466,680.6184,18.797,159.3194,167.37,88.938,,,,2.1055,,,-62.063,,,1913.1380108134979,4028.11208176782
4467,680.7708,18.766,160.3484,168.37,88.625,,,,2.1016,,,-61.938,,,1900.8608754437214,3994.849215832525
4468,680.9232,18.75,161.681,169.75,85.063,,,,2.0977,,,-62.469,,,1885.1936838589568,3954.570790630934
4469,681.0756,18.703,162.4771,171.12,80.688,,,,2.0957,,,-62.438,,,1875.9566732788805,3931.44240019055
4470,681.228,18.625,162.0278,170.37,83.75,,,,2.0957,,,-62.313,,,1881.1586653648324,3942.344215005079
4471,681.3804,18.453,161.4966,169.75,85.688,,,,2.0918,,,-62.313,,,1887.346235152938,3947.950854692916
4472,681.5328,18.344,161.1726,169.5,88.375,,,,2.0957,,,-62.156,,,1891.1403054861685,3963.262738207363
4473,681.6852,18.406,161.0141,169.12,85.625,,,,2.1055,,,-62.406,,,1893.0019172233983,3985.7155367138653
4474,681.8376,18.422,161.3347,169.5,88.625,,,,2.123,,,-62.156,,,1889.2401944528983,4010.8569328235035
4475,681.99,18.484,161.6923,170.0,88.25,,,,2.1172,,,-61.531,,,1885.06193554053,3991.05312992641
4476,682.1424,18.547,161.6188,170.0,85.313,,,,2.1074,,,-61.938,,,1885.919212368858,3974.3861481461317
4477,682.2948,18.484,161.2192,169.5,81.25,,,,2.0996,,,-61.313,,,1890.5936761874516,3969.490482523174
4478,682.4472,18.328,160.6599,169.12,82.75,,,,2.0996,,,-61.188,,,1897.1753374675325,3983.3093385468314
4479,682.5996,18.188,160.3795,168.12,85.625,,,,2.1074,,,-60.156,,,1900.492269897337,4005.0974095816487
4480,682.752,18.188,161.5978,169.5,85.313,,,,2.1094,,,-59.781,,,1886.1642918406067,3978.6749572085755
4481,682.9044,18.172,163.3693,171.37,85.5,,,,2.1113,,,-61.531,,,1865.7116116675531,3939.076925713705
4482,683.0568,18.234,164.9095,173.12,83.563,,,,2.1172,,,-61.406,,,1848.2864844050828,3913.192144782441
4483,683.2092,18.266,166.1994,174.0,87.5,,,,2.1172,,,-61.656,,,1833.9416387784793,3882.821237621796
4484,683.3616,18.281,168.0953,176.0,89.875,,,,2.1191,,,-61.406,,,1813.257122596527,3842.4731684943004
4485,683.514,18.281,170.174,178.12,90.438,,,,2.0859,,,-60.781,,,1791.10792482988,3736.0720204026466
4486,683.6664,18.078,172.453,180.12,92.125,,,,2.0449,,,-61.031,,,1767.4380845795665,3614.2341391567556
4487,683.8188,17.969,175.2256,183.12,89.563,,,,1.999,,,-60.656,,,1739.4718579933526,3477.204244128712
4488,683.9712,17.75,177.3994,185.75,91.25,,,,1.9854,,,-62.656,,,1718.1568821540545,3411.22867382866
4489,684.1236,17.766,178.996,186.5,92.438,,,,1.9932,,,-61.281,,,1702.8313481865516,3394.083443205435
4490,684.276,17.844,181.7855,189.5,94.063,,,,1.9961,,,-61.156,,,1676.7013870743265,3346.863638739063
4491,684.4284,18.031,184.7638,192.75,94.938,,,,1.9863,,,-61.719,,,1649.6737997378275,3276.7470684192467
4492,684.5808,18.078,186.9605,195.12,96.438,,,,1.9717,,,-60.563,,,1630.2908903217524,3214.444548447399
4493,684.7332,18.047,188.3202,196.37,98.0,,,,1.9902,,,-61.563,,,1618.519946346701,3221.1783972192043
4494,684.8856,18.094,189.4007,197.5,107.19,,,,1.9922,,,-61.563,,,1609.286554907136,3206.0206746859963
4495,685.038,18.109,190.5075,198.37,105.25,,,,2.002,,,-61.813,,,1599.9370103539231,3203.0738947285536
4496,685.1904,18.125,191.8093,200.0,111.69,,,,1.9805,,,-62.156,,,1589.0783189344834,3147.1696106497443
4497,685.3428,17.969,192.5786,200.75,103.13,,,,1.9688,,,-61.563,,,1582.7303760646303,3116.079564396044
4498,685.4952,17.922,192.6149,201.12,106.81,,,,1.9629,,,-61.938,,,1582.4320963746834,3106.1559619738664
4499,685.6476,18.047,192.1031,200.0,96.5,,,,1.9678,,,-61.656,,,1586.648003077514,3122.205940455932
4500,685.8,18.016,192.4046,200.5,96.563,,,,1.9785,,,-61.281,,,1584.161709231484,3134.263941714491
4501,685.9524,18.031,192.8054,201.0,94.188,,,,1.9756,,,-61.156,,,1580.8685856309005,3123.163977772407
4502,686.1048,18.078,193.0465,201.12,96.875,,,,1.96,,,-60.156,,,1578.8942042461272,3094.6326403224093
